sector,year,acquirer,target,enterprise_value_usd_bn,ev_sales_x,ev_ebitda_x,multiple_basis,source_ref,notes
Nutrition,2007,Danone,Numico,16.8,4.7,22.0,EV/S derived (FY06 sales EUR2.6bn); EBITDA per press,S7,"Baby + medical nutrition; peak strategic multiple"
Nutrition,2007,Nestle,Gerber (Novartis),5.5,2.8,15.7,EV/S derived; EBITDA reported (15.7x FY07e),S8,"Made Nestle #1 baby food"
Nutrition,2012,Nestle,Pfizer Nutrition,11.85,5.0,23.7,EV/S derived (4.9x FY12e / 5.6x FY11); EBITDA derived; press ~20x fwd,S9,"EM (China) entry; ~$2.1bn sales / ~$0.5bn EBITDA 2011"
Nutrition,2017,Danone,WhiteWave,12.5,2.7,20.0,EV/S reported (FY17); EBITDA reported (~19.8-20x FY16e),S10,"Organic/plant-based (not infant); lower-multiple bookend"
Nutrition,2017,Reckitt Benckiser,Mead Johnson,17.9,4.4,17.4,EV/S reported (FY15); EBITDA reported (FY16),S11,"Pure-play infant formula; closest single comp; ~14x w/ synergies"
Nutrition,2021,Nestle,The Bountiful Company,5.75,2.9,,EV/S derived (~$2.0bn sales); EBITDA n/d,S12,"Vitamins/supplements; adult-nutrition-adjacent"
Branded Generics / EPD,2014,Sun Pharma,Ranbaxy,4.0,2.2,,EV/S derived (~$1.8bn sales); EBITDA n/d (low margin),S13,"India/EM consolidation; incl debt"
Branded Generics / EPD,2015,Teva,Allergan Generics (Actavis),40.5,,,EV reported; multiples n/d (analyst ~12-13x w/ synergies),S14,"Global generics scale; widely viewed as full price"
Branded Generics / EPD,2016,Mylan,Meda,9.9,4.0,10.5,EV/S derived (~4x FY15 sales); EBITDA reported (8.9x w/ syn; ~10-11x rep),S15,"Branded/specialty + EM/OTC"
Branded Generics / EPD,2017,Bain Capital / Cinven,STADA,5.7,2.5,13.4,EV/S derived (FY16 sales EUR2.14bn); EBITDA reported (FY16),S16,"PE take-private; branded generics + consumer health"
Branded Generics / EPD,2018,Advent,Zentiva (Sanofi EU generics),2.1,2.5,10.3,EV/S derived (approx); EBITDA reported (10.25x),S17,"EU/EM branded-generics carve-out"
Branded Generics / EPD,2025,CapVest,STADA (majority stake),10.0,2.4,11.3,EV/S derived (FY24 sales ~EUR4.1bn); EBITDA reported (11.29x),S18,"Latest large branded-generics print"
